;Sample193;Sample194;Sample195;Sample197;Sample198;Sample200;Sample201;Sample202;Sample203;Sample204;Sample205;Sample206;Sample207;Sample208;Sample209;Sample210;Sample211;Sample212;Sample213;Sample214;Sample215;Sample216;Sample217;Sample218;Sample219;Sample220;Sample221;Sample222;Sample223;Sample224;Sample225;Sample226;Sample227;Sample228;Sample229;Sample230;Sample232;Sample233;Sample234;Sample237;Sample238;Sample239;Sample240;Sample241;Sample242;Sample243;Sample244;Sample245;Sample246;Sample247;Sample248;Sample249;Sample250;Sample251;Sample252;Sample253;Sample254;Sample255;Sample256;Sample257;Sample258;Sample259;Sample260;Sample261;Sample262;Sample263;Sample264;Sample265;Sample266;Sample267;Sample268;Sample273;Sample274;Sample275;Sample276;Sample309;Sample310;Sample311;Sample312
Penicillium_brevicompactum;0;1.0208450503;0;0.0781749544;0;0;0;0.0412499405;0;0;0;0.0412499405;0;0;0;0.0474022647;4.4020225225;8.8969171583;2.1031667019;0;0;0;2.7583833441;0.0412499405;1.0208450503;0;0;4.9150583168;0;0.0535553307;0;0.0412499405;0;0.0781749544;0;0;1.0432128502;6.8830001392;0.8193177566;9.3115272535;0;0;0;0;0.0412499405;0;0.0633092222;0;0;0;0;0;1.0208450503;0;0.0838321212;0;0;0;1.0208450503;0;0;0;0;0;0.7415270577;0;0.563031238;0;1.0208450503;0;0;0;0;0;0;0;3.9992735128;0;0.0658636766
Penicillium_kongii_1;0;0;1.0406230371;3.8482572584;0;0;0;0;2.2481402255;0;2.5919610607;0.0412499405;0;0;4.3240330115;0;0;7.2272586292;1.3726963519;0;0;0;0.091535518;1.0208450503;0.0412499405;0;7.9189279952;5.9282924332;0;0.0535553307;7.940475091;1.5989091436;0.0535553307;0;3.3261333337;0.0412499405;1.0432128502;0.0412499405;1.3963519652;9.9451995325;0;0;0;0.0535553307;2.3303202837;0.0947287773;0.0633092222;7.8393907339;0.0412499405;1.5567880755;0;0.0412499405;3.0052536839;1.0208450503;0;1.5206220247;0.206001449;0;1.0208450503;1.0208450503;1.0208450503;1.5989091436;0;3.1745963568;0;0;0;0;2.5919610607;1.5989091436;0;0;1.486180058;0.0412499405;0;0.8682158835;7.089933215;0;0.0658636766
Penicillium_simile;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4112417952;0;0;0;0;6.0351582145;0;0;0;0;0;0;0;0;0;0;4.3823187416;7.9165064774;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;3.9282047638;6.907241735;0.0412499405;0.0571549864;0;0;0;0;0;4.7874843905;0;0
Penicillium_sp_1;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;9.4189248028;6.2797500411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.3578340621;0;0;0;0;0;0;0;0;0;0;0;6.9880287533;0;0;0;0.0838321212;0;0;0;1.0208450503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2976252091;0;0
Penicillium_sp_2;0;0;0;0.0781749544;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;8.7709779187;2.7775657115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.2142769061;0.2549013535;0;0;0;0;0;0;4.4169805946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0781749544;0;0;0;0;0;3.3261333337;2.3303202837;0;0;0;0;0.069826704;6.9828720241;2.7273733762;2.6895680375;0
Plectosphaerella_cucumerina_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7117695143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5989091436;1.8074007736;0.2549013535;1.0208450503;0.7761597828;0.0398301239;0;0;0;0;0;0;3.420834213;0.5570533569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhodotorula_mucilaginosa_1;0;0;0;0;0;0;0;0;0;3.5884681412;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0208450503;0;0;0;0;0;0;0;0;0;0;0;0;7.1104574789;0;0;0;0;0;2.4656108727;0;0;0;0;0;0;3.132200497;0;0;0;0;0;0;0.206001449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.069826704;2.2325286036;0;2.9001829081;0
Saitozyma_podzolica_1;1.0208450503;0.0412499405;0.0607548943;0.0781749544;1.0371110386;0;1.0208450503;0.0412499405;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;1.0208450503;0;0;0;0;0;0;0.2447732515;1.5989091436;0;0.0781749544;0;0.0412499405;0;0;1.3963519652;0;0.0412499405;0;0;0;0.0412499405;0.0947287773;0;0;0;0;0;1.0208450503;0.0412499405;0;0;0;0.7788621322;0;0;1.0208450503;0;0;0;0.0412499405;0;0;0;0;0.0412499405;0.0412499405;0;1.6621051927;0;0;0.069826704;0;0;0;0
Sarocladium_bactrocephalum_1;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;3.8166765156;0;0;5.9619136763;0;0;0;5.9350403523;7.3401101185;0;0;0;1.4129561124;0;0;0;0;0;0;0;5.4272443586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0981931063;0;0;0;0;0;0;0;0;0.069826704;0;0;0;0
Sarocladium_zeae_1;0;0;0;0;0;0;0;0;0;0;0;0;2.6590710117;0.5442831174;0;0.0474022647;2.7846626058;0;0;0;0;0;0;3.909696129;0;0;0;0;6.7070980732;8.1625524356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0432128502;0;0;0;0;0;0;0;2.0539574942;2.2921209541;2.9819259313;0;2.3303202837;0;2.0104788605;0;0;0;0;7.9427973719;0;0;0;0;5.1050481479;0.6752705661;0;0;0;0;0;0;0
